name,started,note
Season 1,2022-10-04,overwatch 2 launch
Season 2,2022-12-06,
Season 3,2023-02-07,
Season 4,2023-04-11,
Season 5,2023-06-13,
Season 6,2023-08-10,invasion
Season 7,2023-10-10,
Season 8,2023-12-05,
Season 9,2024-02-13,champions rework
Season 10,2024-04-16,venture
Season 11,2024-06-20,
Season 12,2024-08-20,juno
Season 13,2024-10-15,
Season 14,2024-12-10,hazard
Season 15: Honor and Glory,2025-02-12,date per wiki season page
Season 16: Stadium,2025-06-24,date per wiki season page
Season 17: Powered Up!,2025-08-26,date per wiki season page
Season 18: Stadium Quick Play,2025-10-14,wuyang; date per wiki season page
Season 19: Haunted Masquerade,2025-12-09,date per wiki season page
Season 20: Vendetta,2026-02-10,date per wiki season page; last before the competitive-year rebrand
