hero,other,score,note
Ana,Winston,2,nano on the dive engage; sleep and anti cover his retreat
Ana,Genji,3,nano blade is the classic wombo; her utility turns his ult into a team wipe
Ana,Reinhardt,3,nano rein anchors brawl; shield protects her sightlines in return
Ana,Mauga,2,nano plus his lifesteal makes him nearly unkillable in the brawl
Zarya,Reinhardt,3,bubbles eat the punish tools that stop rein from swinging
Zarya,Mei,2,graviton plus blizzard stacks two area lockdowns into one fight win
Zarya,Hanzo,2,graviton dragon needs no coordination beyond timing
Mei,Reinhardt,2,walls cut off the point and make space for his flat engage
Lúcio,Reinhardt,3,speed fixes rein's one weakness; classic brawl core
Lúcio,Winston,2,speed lets the dive commit and disengage together
Lúcio,Doomfist,2,speed amplifies his angles and covers his cooldown gaps
Winston,D.Va,3,double dive tanks; she follows his jump and eats the counters
Winston,Genji,2,dive core; they arrive together and split the backline's attention
Winston,Tracer,3,dive core; tracer cleans up what the primal disrupts
Winston,Sombra,2,hack removes the escape of whatever he jumps
D.Va,Tracer,2,matrix covers her one-clip window and eats the turnaround damage
Tracer,Genji,2,double flank forces the backline to turn two directions at once
Sombra,Doomfist,2,hack strips escape and shields before the punch lands
Sombra,Tracer,2,emp sets up her cleanup better than any other ult
Pharah,Mercy,3,pocket pharah is the oldest duo in the game; damage boost plus survivability
Echo,Mercy,2,same pocket logic at higher skill ceilings
Mercy,Ashe,2,damage boosted dynamite and headshots swing mid fights
Kiriko,Genji,2,suzu cleanses anti out of blade windows; kitsune extends the dive
Junker Queen,Lúcio,3,speed queen brawl; her wound healing scales with pace of the fight
Junker Queen,Brigitte,2,brawl frontline stacking sustain and peel at the same range
Ramattra,Zenyatta,2,discord melts what his block walks into; orbs travel with the push
Ramattra,Lúcio,2,speed feeds his ult and vortex range
Sigma,Widowmaker,2,poke frontline that never blocks her sightlines
Sigma,Hanzo,2,poke core; grasp holds angles while he spams them
Orisa,Torbjörn,2,fortified frontline plus turret zone control on chokes
Reinhardt,Brigitte,2,double shield brawl at melee range; her packs keep the swing alive
Roadhog,Zarya,2,hook into bubble punish; his hook feeds her energy targets
Bastion,Baptiste,2,immortality field lets turret form stand in the open
Baptiste,Pharah,2,vertical burst plus lamp under the fight she owns from above
Zenyatta,Winston,2,discorded dive targets die inside primal cooldowns
Moira,Reaper,2,brawl flank pair with self-sustain to trade deep
Soldier: 76,Mercy,1,boosted helix and visor are simple reliable value
Wrecking Ball,Sombra,1,double disruption comps; both punish scattered backlines
Wrecking Ball,Zenyatta,1,ball creates the chaos discord converts into kills
Torbjörn,Mei,1,wall plus turret locks a flank completely
Cassidy,Reinhardt,1,mid range hitscan that lives behind his shield comfortably
